FID,BPID,Miles,STREET_NAM,FROM_ROAD,TO_ROAD,BLOCK,WARD,WIDTH__fee,Final_Rati,Rating_Cat,FC_Code,FC_Descrip,Date_Enter,Shape__Length
972,SYR2400,0.345447090923,"Midler Ave., S.",Burnet,Erie Blvd,600,5,40,6,Fair,16,Minor Arterial,2021/07/16 00:00:00+00,762.61185405362
973,SYR2401,0.229028787309,Milburn Dr,Valley Dr.,Cortland Pl.,0,13,24,8,Good,19,Local,2021/07/19 00:00:00+00,503.933387161479
974,SYR2402,0.100461619611,Milburn Dr,Cortland Pl.,Seneca Tnpk,300,13,24,7,Good,19,Local,2021/07/19 00:00:00+00,221.568420493735
975,SYR2403,0.217962565738,Mildred Ave.,James,George,200,4,25,5,Poor,19,Local,2021/06/25 00:00:00+00,480.071455007987
976,SYR2404,0.175690723059,Mildred Ave.,George,Teall,300,4,25,5,Poor,19,Local,2021/06/25 00:00:00+00,386.974244532268
977,SYR2405,0.132709499185,Miles Ave,Lennox,Jerome,100,17,36,7,Good,19,Local,2021/07/22 00:00:00+00,292.87146633791
978,SYR2406,0.116168640279,Miles Ave,Jerome,Kensington Rd,200,17,36,7,Good,19,Local,2021/07/22 00:00:00+00,256.359846964736
979,SYR2407,0.0839188400842,Miles Ave,Kensington Rd,Broad,300,17,36,7,Good,19,Local,2021/07/19 00:00:00+00,185.169122865936
980,SYR2408,0.0575944358369,Milford Ct,Milford Dr. E.,dead end,100,5,21,6,Fair,19,Local,2021/06/17 00:00:00+00,126.761988798124
981,SYR2409,0.134590147416,Milford Dr E,James,Northcliffe,100,5,24,6,Fair,19,Local,2021/06/17 00:00:00+00,297.184182364473
982,SYR241,0.0852619484489,Becker St.,Pond,Craig,100,3,19,6,Fair,19,Local,2021/07/13 00:00:00+00,187.782550634019
983,SYR2410,0.0665990682741,Milford Dr E,Northcliffe,Roxbury,200,5,24,6,Fair,19,Local,2021/06/17 00:00:00+00,146.935919224722
984,SYR2411,0.134431741189,Milford Dr W,James,Northcliffe,100,5,29,6,Fair,19,Local,2021/06/17 00:00:00+00,296.833983919363
985,SYR2412,0.0845698533693,Milford Dr W,Northcliffe,Roxbury,200,5,29,6,Fair,19,Local,2021/06/17 00:00:00+00,186.387954426552
986,SYR2413,0.17764915998,Milnor Ave,Seeley,Ball,100,17,23,5,Poor,19,Local,2021/07/16 00:00:00+00,390.734193475277
