FID,OBJECTID,BPID,Road_Class,FC,Miles,Rating_202,Rating_Cat,STREET_NAM,FROM_STREE,TO_STREET,BLOCK,WARD,WIDTH,Feet,Shape__Len,Shape__Length
1769,744,SYR1483,2,16,0.104278083378,6,Fair,Glenwood Ave,South,Craddock,100,13,27,550.588280235,229.674636486,229.674636484879
1770,745,SYR149,2,17,0.0755210534055,4,Poor,"Avery Ave., N.",Cayuga,W. Genesee,500,7,36,398.751161981,166.579917464,166.579917468896
1771,746,SYR1513,2,16,0.0625496023774,10,Excellent,Grand Ave,Lydell,Hoefler,400,8,27,330.261900552,137.568385988,137.568385980803
1772,747,SYR1514,2,16,0.0609393960627,10,Excellent,Grand Ave,Hoefler,Holden,500,8,27,321.760011211,134.026447906,134.026447913371
1773,748,SYR1521,2,19,0.114153914601,9,Excellent,Grant Ave,Page,Stinard,100,11,31,602.732669095,251.112448293,251.112448289391
1774,749,SYR1525,2,19,0.0614087585358,9,Excellent,Grant Ave,Duane,Markland,500,11,31,324.238245069,135.029481896,135.029481893506
1775,750,SYR1527,2,16,0.133698122453,9,Excellent,Grant Blvd.,George,Grant Terr.,300,4,35,705.926086553,294.459642383,294.459642384448
1776,751,SYR1532,2,16,0.0622512344327,10,Excellent,Grant Blvd.,Brattle,Wendell,900,4,35,328.686517804,136.974898608,136.974898603341
1777,752,SYR1535,2,16,0.0558780759882,10,Excellent,Grant Blvd.,Dewitt,Helen,1300,3,35,295.036241218,122.951211325,122.951211323474
1778,753,SYR1536,2,16,0.0564263885941,10,Excellent,Grant Blvd.,Helen,Oak,1400,3,35,297.931331777,124.157448989,124.157448988365
